date,AO
2023-09-01,0.3181
2023-10-01,-0.4139
2023-11-01,-0.0358
2023-12-01,-0.2215
2024-01-01,-0.2103
2024-02-01,0.6348
2024-03-01,-0.6102
2024-04-01,0.4645
2024-05-01,-0.048
2024-06-01,0.1364
2024-07-01,0.5868
2024-08-01,1.2836
2024-09-01,-0.6237
2024-10-01,0.5248
2024-11-01,-0.0374
2024-12-01,-0.3355
2025-01-01,-0.0694
2025-02-01,-0.8645
2025-03-01,0.5564
2025-04-01,0.2677
2025-05-01,0.9042
2025-06-01,1.1343
2025-07-01,0.4999
2025-08-01,0.0362
2025-09-01,0.0481
2025-10-01,0.0642
2025-11-01,-0.4668
2025-12-01,0.2669
